sku,name,vendor,product_type,price,description,tags,url
JYC-01703,Viltrox EF-E II AF Booster Lens Adapter,Viltrox,bộ chuyển đổi ống kính,$188.00,"Bộ chuyển đổi ngàm EF E ll cho phép sử dụng hoàn hảo các ống kính Canon EF trên máy ảnh Sony E-mount APS-C, tương thích với hệ thống truyền động của ống kính Canon. Với các tiếp điểm kim loại, sản phẩm có thể hỗ trợ chức năng AF của ống kính và truyền tín hiệu EXIF.",EF-E,https://viltrox.com/products/viltrox-ef-e-ii-auto-focus-0-71x-focal-reducer-speed-booster-lens-adapter-with-cdaf-pdaf-switch-for-canon-ef-lens-to-sony-e-mount-camera-a9-a7riii-a7rii-a7iii-a6500-a6300-a6400-a7sii-a7r
B00CBGFUT2,Viltrox EF-EOS M Lens Mount AF Adapter,Viltrox,bộ chuyển ngàm ống kính,$40.99,"EF-EOS M Mount Adapter được thiết kế cho ống kính Canon EF sử dụng với máy ảnh mirrorless Canon. Thông qua việc gắn bộ chuyển này, có thể đạt được các chức năng lấy nét tự động và điều chỉnh khẩu độ. EFEOS M2 Mount Adapter được thiết kế cho ống kính EF để sử dụng trên máy ảnh mirrorless Canon, tương thích với hệ thống truyền động của ống kính Canon. Sản phẩm có thể hỗ trợ chức năng AF của ống kính với các tiếp điểm kim loại. Bao phủ dải tiêu cự rộng, sản phẩm phù hợp với nhiều bối cảnh chụp khác nhau và mang lại chất lượng hình ảnh chuyên nghiệp.",EF-EOS M,https://viltrox.com/products/viltrox-ef-eos-m-lens-mount-auto-focus-adapter-for-canon-eos-ef-ef-s-d-slr-lens-to-canon-eos-m-ef-m-mount-mirrorless-camera
B07VQV5VK7,Viltrox MF 20mm F1.8 Full-Frame Lens for Nikon Z-Mount,Viltrox,ống kính máy ảnh,$399.00,Ống kính chụp chân dung tiêu cự 20mm khẩu độ lớn. Bốn thấu kính ED (thủy tinh fluorite) để hiệu chỉnh tán sắc sai khác pha. Cấu trúc gồm 12 thấu kính trong 9 nhóm. Thân kim loại toàn phần đảm bảo độ chính xác và độ bền.,"Full Frame, MF, Z-mount",https://viltrox.com/products/viltrox-20mm-f1-8-full-frame-wide-angle-fixed-prime-lens-for-nikon-z-mount-mirrorless
B07L3S1X22,Viltrox MF 20mm F1.8 Full-Frame Lens for Sony E-Mount,Viltrox,ống kính máy ảnh,$399.00,"Ống kính chân dung khẩu độ lớn 20mm. Bốn thấu kính ED (thủy tinh fluorite), dùng để hiệu chỉnh tán sắc chênh lệch pha. Cấu tạo 12 thấu kính trong 9 nhóm. Thân kim loại بالكامل đảm bảo độ chính xác và độ bền.","E-mount, FE-mount, Full Frame, MF",https://viltrox.com/products/viltrox-20mm-f-1-8-wide-angle-full-frame-manual-focus-prime-lens-for-sony-e-mount
JYC-02414,Viltrox NF-NEX Mount Adapter Ring,Viltrox,bộ chuyển đổi ống kính,$45.00,"Tính năng: 8 nấc vòng chỉnh khẩu độ chính xác; được sử dụng rộng rãi cho ống kính Nikon loại G/F/AI/S/D; lấy nét thủ công có thể đạt tới vô cực; lớp sơn đặc biệt ở lỗ khẩu độ giúp giảm phản xạ nội bộ; chân tripod tháo rời 1/4; Thông số kỹ thuật Thương hiệu: Viltrox Chất liệu: hợp kim nhôm độ chính xác cao Trọng lượng: 0.168kg Tương thích: -Máy ảnh: máy ảnh và máy quay Sony E-Mount (ví dụ: Sony NEX A7,A7R, NEX-3, NEX-5, NEX-5N, NEX-7, NEX-7N, NEX-C3, máy quay Sony NEX-VG10, VG20, FS-100, FS-700) -Ống kính: ống kính Nikon loại G, F, AI,S,D Lưu ý 1. Ống kính cần được lấy nét và điều chỉnh thủ công sau khi gắn. Máy ảnh sẽ tự động tính toán lượng ánh sáng cần phơi sáng sau khi cài đặt đúng chế độ chụp. 2. Ống kính sẽ không thể tự động lấy nét, nhưng có thể đạt tới vô cực; 3. Khi gặp tình trạng nút chụp không thể bấm (hoặc máy ảnh thông báo không lắp ống kính), vui lòng sửa mục cài đặt được định nghĩa thành “Chụp không cần ống kính” hoặc “Ưu tiên khẩu độ”. Bộ sản phẩm Bộ chuyển đổi ống kính Viltrox NF-NEX x 1 Khăn lau VILTROX x 1 Hộp bán lẻ x 1",NF-E,https://viltrox.com/products/viltrox-nf-nex-mount-adapter-ring-for-nikon-g-f-ai-s-d-lens-to-sony-e-mount-camera
JYC-01992,Viltrox NF-E MF F Mount Lens Adapter,Viltrox,bộ chuyển đổi ống kính,$79.99,"Mô tả sản phẩm Kích thước: NF-E (lấy nét tay) Vòng chuyển đổi này cho phép bạn sử dụng ống kính Nikon F trên thân máy Sony ngàm E, giúp bạn tiết kiệm chi phí chuyển đổi đắt đỏ và không thể hoàn nguyên. Tính năng Vòng khẩu độ tốt nhất trong ngành bao phủ thang đánh dấu 8 stop, chỉ rõ ràng số f-stop thực tế. Tương thích với cả ống kính Nikkor G và ống kính F (bao gồm ngàm ống kính non-AI & AI). Kết cấu toàn kim loại, với quang học xuất sắc (5 thấu kính/4 nhóm) Tăng khẩu độ tối đa thêm 1 stop. Tăng MTF. Ở các bộ chuyển đổi ống kính thông thường, hiện tượng cắt ảnh xảy ra trên tất cả máy ảnh kỹ thuật số APS-C với độ phóng đại 1.5x. Bộ chuyển đổi này giảm tiêu cự xuống 0.71x, để điều chỉnh kích thước hình ảnh gần 1:1, sao cho tiêu cự của ảnh gần với tiêu cự thực của ống kính, ví dụ: 50mm x 1.5 x 0.71 = 53.25mm. Chân tripod có thể tháo rời và tương thích với đầu bi Arca Swiss, Markins và Photo Clam. Lưu ý: Bộ chuyển đổi Speed Booster này KHÔNG tương thích hoàn toàn với Sony A7, A7R và A7S full-frame. Khi dùng Speed Booster với Sony A7, A7R hoặc A7S, máy ảnh phải được sử dụng ở chế độ ""APS-C Size Capture"". Mẹo: Trước khi gắn ống kính vào bộ chuyển đổi, vui lòng đảm bảo vòng khẩu độ trên bộ chuyển đổi được xoay về ""7"" (tức là chỉ gắn ống kính vào bộ chuyển đổi khi vòng khẩu độ trên bộ chuyển đổi đã được đóng hoàn toàn.). Ghi chú: ngàm này điều khiển khẩu độ thủ công. Nó KHÔNG hỗ trợ điều khiển khẩu độ điện tử. Tương thích -Ống kính Nikkon G & ống kính F (bao gồm ngàm ống kính non-AI & AI) -Sony E Mount, NEX-3N NEX-6 NEX-5R NEX-F3 NEX-7 NEX-5N NEX-5C NEX-C3 NEX-3 NEX-5 Bộ sản phẩm bao gồm: 1 x Bộ chuyển đổi ống kính Viltrox NF E 2x nắp ống kính 1 x hộp đựng",NF-E,https://viltrox.com/products/viltrox-nf-e-manual-focus-f-mount-lens-adapter-to-sony-e-mount-camera
B07H88LLJD,Viltrox EF-FX PRO AF Lens Adapter for EF/EF-S to X-mount,Viltrox,ngàm chuyển ống kính,$178.00,"Dành cho ống kính Canon EF/EF-S, chuyển sang ngàm Fuji X
Tích hợp điều chỉnh khẩu độ thủ công (phiên bản pro)
Hỗ trợ lấy nét tự động
Thiết kế chống nước và chống bụi",EF-Fujifilm,https://viltrox.com/products/ef-fx-af-lens-adapter-for-ef-efs-to-x-mount
B07T8GR9RS-2,Viltrox C-AF II AF 2.0X EF-Mount Teleconverter,Viltrox,ngàm chuyển ống kính,$96.00,"Viltrox C-AF 2XII TELEPLUS có thể tăng tiêu cự của tất cả ống kính Canon EF lên gấp 2 lần, và vẫn có thể sử dụng hoàn hảo chức năng lấy nét tự động của ống kính máy ảnh gốc, đồng thời không thay đổi thông tin EXIF. Tương thích: C-AF 2XII chỉ tương thích với các ống kính dòng L tiêu cự cố định từ 135mm trở lên, cũng như EF 70-200mm f/2.8L, EF 70-200mm f/2.8L IS, EF 70-200mm f/4L, và EF 100-400mm f/4.5-5.6L. Tính năng: Tương thích với ống kính ngàm Canon EF (không dùng cho ống kính Canon EF-S). Bạn có thể tăng tiêu cự của ống kính gốc lên gấp 2 lần. Hỗ trợ chức năng Auto Focus của ống kính và không ảnh hưởng đến thông tin Exif. Sử dụng 7 thấu kính quang học, 4 nhóm, độ sâu trường ảnh bằng một nửa so với ống kính gốc. Công cụ hỗ trợ tốt cho chụp ảnh tầm xa. Trang bị giao diện firmware USB nâng cấp. Thông số kỹ thuật: Loại ngàm: ống kính Canon EF-Mount Độ phóng đại: 2 lần Độ sâu trường ảnh: bằng một nửa của ống kính gốc Tiêu cự ghép tối thiểu: bằng với ống kính gốc Cấu tạo ống kính: 7 thấu kính, 4 nhóm Chế độ lấy nét: Autofocus Lớp phủ ống kính: đa lớp Hệ số phơi sáng: khoảng 4 lần (tương đương 2 khẩu độ) Đường kính và chiều dài: khoảng 68×51mm Trọng lượng: khoảng 154g Danh sách đóng gói: 1 x Viltrox C-AF 2X II TELEPLUS Adapter 1 x Sách hướng dẫn sản phẩm",Teleconverter,https://viltrox.com/products/viltrox-ef-fx2-auto-focus-lens-adapter-0-71x-focal-reducer-speed-booster-for-canon-ef-mount-lens-to-fuji-x-mount-mirrorless-camera-1
JYC-03002,Viltrox VL-162T LED Light (Only Light),Viltrox Store,Đèn video LED,$36.49,"Tính năng điều chỉnh độ sáng và chế độ màu: Bộ điều chỉnh độ sáng (20%-100%) và nhiệt độ màu thay đổi (3300K-5600K) giúp làm sáng video hoặc hình ảnh của bạn. 4 bộ lọc đi kèm dễ dàng lắp đặt bằng nam châm để tạo hiệu ứng màu ánh sáng đa dạng và sáng tạo. Pin kèm bộ sạc: Dùng bộ đổi nguồn AC (không bao gồm) hoặc pin kèm bộ sạc (bao gồm trong gói) để sử dụng thuận tiện hơn trong nhà hoặc ngoài trời. Với ngàm hot shoe tiêu chuẩn, có thể điều chỉnh góc khi gắn trên bất kỳ máy ảnh DSLR, tripod, giá đỡ hoặc chân đèn, v.v. Màn hình LCD tích hợp: Bảng LCD hiển thị rõ ràng mức pin, độ sáng và nhiệt độ màu, giúp bạn thao tác dễ dàng và làm việc hiệu quả hơn. Thiết kế kết hợp nhiều đèn. Với 2 khe mở rộng ở cả hai bên, chiếc đèn di động, nhẹ này có thể dễ dàng liên kết với nhau để bổ sung ánh sáng cho các môi trường khác nhau. Đạt chứng nhận CE, EMC, FCC, RoHS. Chỉ số CRI cao 95+; độ chiếu sáng tối đa với 162 bóng LED mạnh mẽ có thể đạt: 1070LM/1250Lux(1m). Thiết kế đèn kích thước nhỏ, dễ mang theo. Mô tả sản phẩm Điều chỉnh ánh sáng dễ dàng Sau khi nhấn nút, xoay công tắc để điều chỉnh độ sáng trong phạm vi 20-100% hoặc các nhiệt độ màu khác nhau (3300K-5600K) để tạo ánh sáng mềm hơn hoặc sáng hơn. Và có thể lắp hoặc tháo bộ lọc trắng khi cần. Pin mạnh mẽ kèm bộ sạc Đèn có thể sử dụng với bộ đổi nguồn AC hoặc pin. Đi kèm pin và bộ sạc, thuận tiện mang theo cho các buổi chụp ảnh trong nhà hoặc ngoài trời. Bảng LCD HD rõ ràng rất tiện để kiểm tra các thông số. Sử dụng thuận tiện & Điều chỉnh góc Gắn đèn lên ngàm shoe tiêu chuẩn của máy quay, máy ảnh số hoặc máy quay phim, sau đó siết chặt bằng núm vặn. Bạn có thể điều chỉnh góc đèn theo ý muốn. Nhiều cách kết hợp đèn Thiết kế rãnh cố định bên cạnh Đèn LED cho phép kết nối nhiều đèn để bổ sung ánh sáng. Rất phù hợp để xử lý các tình huống quay khác nhau. Kích thước nhỏ gọn với độ sáng cao Đèn LED 162 bóng sáng r","Bi-color Light Series, Panel Light Series",https://viltrox.com/products/viltrox-vl-162t-cri95-led-video-light-portable-camera-photo-light-panel-dimmable-for-dslr-camera-camcorder-with-battery-charger-high-brightness-3300k-5600k-bi-color-white-filter-and-lcd-display
B07TVTB2T7,Viltrox DG-GFX 45mm Extension Tube,Viltrox,ống nối macro,$108.00,"Ống nối macro này có thể được sử dụng giữa máy ảnh ngàm Fuji G và ống kính ngàm GFX. Tiếp điểm điện tử kim loại tích hợp, bề mặt được mạ điện. Tương thích với chế độ đo sáng TTL và chế độ AE của máy ảnh. Có nắp trước và nắp sau, chống bụi, chắc chắn và bền. Cho phép tự động lấy nét và tự động phơi sáng đầy đủ. Mô tả sản phẩm Chức năng Viltrox DG-GFX 45mm Extension tube được phát triển đặc biệt cho các máy ảnh định dạng trung bình ngàm Fuji GFX FUJIFILM GFX50S/GFX50R. Tính năng Có thể sử dụng riêng lẻ hoặc kết hợp với ống nối 18mm khác, có thể đạt được 3 mức phóng đại khác nhau và hoạt động hoàn hảo với lấy nét tự động của máy ảnh. Chân đồng nguyên chất, khớp hoàn hảo. Giao diện kim loại, AF, truyền dẫn tốt hơn",DG-GFX,https://viltrox.com/products/viltrox-dg-gfx-45mm-extension-tube-for-fuji-gfx-mount-med-format-cameras-fujifilm-gfx50s-gfx50r
JYC-00773,Viltrox DG-C AF Macro Extension Tube Set,Viltrox,Ống nối macro,$34.99,"Mô tả sản phẩm Chúng tôi không khuyến nghị kết hợp cùng lúc 2 hoặc 3 vòng nếu tiêu cự nhỏ hơn 70mm. Chức năng lấy nét tự động dễ sử dụng khi gắn MỘT vòng, nhưng sẽ khó hơn với 2 hoặc 3 vòng. Chúng tôi khuyên bạn nên đặt máy ảnh ở chế độ MF. Vui lòng xem hình ảnh thứ 5, đó là dữ liệu thử nghiệm của tôi, hy vọng sẽ hữu ích cho việc chụp ảnh của bạn; nếu bạn vẫn gặp bất kỳ vấn đề nào khi sử dụng, vui lòng liên hệ với tôi, tôi sẽ cung cấp hỗ trợ kỹ thuật. Cảm ơn Có thể dùng riêng lẻ hoặc kết hợp, đạt được 7 mức phóng đại khác nhau và hoạt động hoàn hảo với lấy nét tự động của máy ảnh. Chân tiếp xúc bằng đồng nguyên chất, khớp hoàn hảo. Giao diện kim loại, AF, truyền tín hiệu tốt hơn Có thể dùng riêng lẻ hoặc kết hợp, hoạt động hoàn hảo với lấy nét tự động của máy ảnh. Màu sắc: Đen Phù hợp với: Ống kính Canon EF/EF-S 35mm Chất liệu: Kim loại & nhựa Kích thước ống macro: Xấp xỉ 6.8 * 7.4cm / 2.7 * 2.9in (Đ * C) Trọng lượng ống macro: 123g / 4.3oz Gói hàng gồm 1 * Bộ ống nối (12mm, 20mm & 36mm) 1 * Nắp trước 1 * Nắp sau 1 * Hướng dẫn sử dụng (tiếng Anh & tiếng Trung)",DG-C,https://viltrox.com/products/viltrox-dg-c-auto-focus-macro-extension-tube-set-for-canon-eos-ef-ef-s-mount
